ASIN,Title,ProxScore,Category,Brand,BSR,Price,"Monthly Sales","Net Price","Monthly Revenue","Review Count","Review Rating",Sellers,"Last Year Sales","Sales Year over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period"
B07BK37NK1,"Confetti Fox Make Up Lover Gift Wall Art Decor - 8x10 Unframed - Set of 4 Metallic Pearl Prints - Funny Quotes Sayings Rap Hip-Hop Themed Bathroom Bedroom Dorm Decoration",10,"Home & Kitchen","Confetti Fox",202816,16.98,90,12.02,1528.2,39,4.8,1,1057,,55,7,"Aug, 2018"
B0731TCYYM,"Wall Decor - Inspirational Quote. Peel and Stick Wall Decals - Easy to Remove Black and Gold Vinyl Quote - Be Bold, Be Brave, Be Youtiful. DIY Decoration. By Paper Riot Co.",8,"Tools & Home Improve","Paper Riot Co.",3516,10.95,1107,6.9,12121.65,103,4.4,2,9596,425,145,,"Dec, 2018"
B01BNWDU7S,"Easy Peel + Stick Gold Wall Decal Dots - 2 Inch (200 Decals) - Safe on Walls & Paint - Metallic Vinyl Polka Dot Decor - Round Circle Art Glitter Stickers - Large Paper Sheet Baby Nursery Room Set",7,"Home & Kitchen","Decals for the Wall",7708,14.99,1038,9.46,15559.62,867,4.8,4,23466,72,7,2,"Aug, 2018"
B07G2VBWHS,"Confetti Fox Make Up Lover Gift Wall Art Decor - 8x10 Unframed Print - Lashes Makeup Decoration Eyelashes Poster Bathroom Vanity Desk Dorm Bedroom",7,"Home & Kitchen","Confetti Fox",71764,12.99,66,8.63,857.34,12,5,1,,,91,,"Mar, 2019"
B07J5PXSL5,"Designs by Maria Inc. Colorful Abstract Paint Splats Inspirational Wall Art Prints (Unframed) | Set of 6 (8x10)",7,"Home & Kitchen","Designs by Maria Inc.",20232,18.98,273,13.72,5181.54,19,4.9,1,,,0,,"Jul, 2019"
B07BMY1BCR,"Designs by Maria Inc. Set of 2 Fashionista Prints (Unframed) Lips & Lashes Wall Art Makeup Bathroom Decor (8x10)",6,"Home & Kitchen","Designs by Maria Inc.",23671,11.99,181,7.78,2170.19,36,4.2,1,1726,,167,,"Aug, 2018"
B0742C11ZV,"CHICIEVE Handmade Dream Catchers,White and Gold Feather Decoration for Christmas Wedding Party- Diameter 7.9"" Length 27~29""",6,"Home & Kitchen",CHICIEVE,52541,9.99,157,6.08,1568.43,161,4.7,1,3173,203,24,10,"Dec, 2018"
B075X4K2W1,"Girls Room Decor, Posters for Girls, Super Powerful Girls, Girl Wall Decor, Inspirational & Motivational Quotes for Girls & Teens, Kids Bedroom Wall Decorations, Teen Wall Art Set of 4 Poster 11x17in",6,"Home & Kitchen","Throwback Traits",36075,15.99,290,10.4,4637.1,49,4.6,1,1572,,113,2,"Jul, 2019"
B01L2QB4IW,"Eleville 8X10 She believed she could so she did Real Gold Foil and Floral Watercolor Art Print(Unframed) Kids art quote Teen room Wall Art Nursery Decor Motivational Art Inspirational Print Gift WG089",6,"Home & Kitchen",Eleville,177622,12.99,19,8.63,246.81,14,4.8,1,503,,-64,,"Aug, 2018"
B07343FJWW,"Arrow Design Wall Mounted Brass-Tone Metal 6 Hook Necklace Organizer Hanging Rack",6,"Home & Kitchen",MyGift,46991,14.99,224,9.55,3357.76,41,4.5,1,3155,,108,,"Dec, 2018"
B07K2TZSHF,"Let That Shit Go Quotes Gold Foil Print, Minimalist Typographic Yoga Room Dorm Buddha Cardstock Art Print Poster Home Decor Wall Art (8 X 10 inch, Set of 1, UNframed)",5,"Home & Kitchen",Sanrx,20742,11.98,417,7.77,4995.66,27,4.3,1,,,2167,,"Jul, 2019"
B01N7PUEW9,"Urban Shop Faux Fur Saucer Chair with Metal Frame, One Size, White",5,"Home & Kitchen","Urban Shop",3366,61.27,2881,34.85,177354.36,155,3.9,5,14213,559,247,-1,"Jul, 2019"
B07CL4GRDH,"Inspirational Wall Art-Inkblot: Set of 6-Phrases of Wisdom Unframed Poster Art (8""x10"")",5,"Home & Kitchen","Infinity Creations",74241,24.88,198,18.74,4926.24,18,4.5,1,1648,,370,-24,"Jul, 2018"
B07HNHNFVG,"Susie Arts 8X10 Unframed She Believed She Could So She Did Gold Foil Quote Art Print Home Decor Girl Wall Art Nursery Decor Motivational Art Inspirational Print V158",5,"Home & Kitchen","Susie Arts",326341,11.99,35,7.78,419.65,4,3.5,1,,,-16,,"Mar, 2019"
B00LHHRGIY,"Umbra Fotochain Photo Display, Set of 3, Matte Brass",5,"Home & Kitchen",Umbra,23023,22.99,399,14.28,9173.01,112,4.4,11,4633,-2,26,-3,"Dec, 2017"
B0775BRHQ3,"jomparis Modern Wall Clock Silent Non-Ticking Quartz Sweep Decorative Battery Operated Wall Clocks for Home Living Room Office School,Rose Gold Plastic Frame Glass Cover (12 Inch, Arabic Numeral)",4,"Home & Kitchen",jomparis,11961,17.77,578,9.9,10271.06,245,4.1,1,6916,,58,-1,"Oct, 2018"
B079L7HY9M,"CO-Z Modern Table Lamp with White Fabric Shade, Gold Desk Lamp with Hollowed Out Base 18 Inches in Height for Living Room Bedroom Dining Room",4,"Tools & Home Improve",CO-Z,44352,39.99,168,21.55,6718.32,27,4.6,1,1377,,30,4,"Dec, 2018"
B07F422BSB,"Pi Art Framed Contemporary Abstract Shinning Gold and Pink Trendy Canvas Print Wall Art with Gold Foil Wall Decor Picture for Living Room and Bedroom (24x24, B)",4,"Home & Kitchen","Pi Art",63315,49.9,134,31.62,6686.6,33,4.8,1,,,91,,"Mar, 2019"
B076Y35VNP,"Golden State Art, Gold Metal Wall Photo Frame Collection, Set of 7, Aluminum Photo Frame with Ivory Color Mat & Real Glass",4,"Home & Kitchen","Golden State Art",6913,38.99,1107,25.22,43161.93,110,4.8,2,9761,,37,,"Jul, 2019"
B07K76FPKQ,"Paimuni Blue Abstract Modern Canvas Print 3 Panel with Embellishment Gold Foil Wall Pictures for Home Decoration, Ready to Hang",4,"Home & Kitchen",Paimuni,44061,28.99,233,18.24,6754.67,30,4.5,1,,,215,-4,"Jul, 2019"
B07M5DTNNF,"Sanrx Inspirational Quote Typography Art Painting Poster?Watercolor Motivational Letterings Cardstock Art Print for Girls Women Bedroom Home Wall Decor (Set of 3, 8",4,"Home & Kitchen",Sanrx,44335,12.59,170,8.29,2140.3,18,4.2,1,,,1036,-4,"Jul, 2019"
B07H2YD2KJ,"Chsdec Motivational Inspirational Lettering Quote Fashion Woman Art Print Set of 4 Posters 8""X10"" Canvas|Office Girls Home Words Wall Art-to Inspire Teens Girls Hard Work Decor",4,"Home & Kitchen",Chsdec,62776,14.69,125,10.12,1836.25,42,3.9,1,,,38,2,"May, 2019"
B01GA0ALZM,"LiveGallery 72 PCS 6 Colors Removable 3D DIY Beautiful Butterfly Wall Decals Colorful Butterflies Art Decor Wall Stickers Murals for Kids Baby Boy Girls Bedroom Classroom Offices TV Background",4,"Tools & Home Improve",LiveGallery,12147,11.88,315,6.91,3742.2,106,4.2,1,4184,43,6,,"Mar, 2019"
B075GSDSBP,"wall26 - 3 Piece Canvas Wall Art - Luxury Gold Abstract Polygonal Background 3D Rendering - Modern Home Decor Stretched and Framed Ready to Hang - 16""x24""x3 Panels",4,"Home & Kitchen",wall26,150411,49.99,114,39.99,5698.86,54,4.3,2,1075,,91,,"Mar, 2019"
B07CVPHZ2D,"Signature Design by Ashley A8000149 Devlan Set of 5 Wall Art, Gold Finish/White",4,"Home & Kitchen","Signature Design by Ashley",219100,110.16,30,72.46,3304.8,3,5,14,,,190,4,"Mar, 2019"
B07QF39WPC,"She Believed She Could So She Did - Framed - Quote Motivational Wall Art Canvas Print Home Decor, Gallery Wrap Inner Frame, White, 7x9",4,"Home & Kitchen","Art Hub",72602,9.5,241,4.79,2289.5,21,4.4,1,,,89,,"Jul, 2019"
B07B9FNTTB,"SUMGAR Pink Wall Art Girls Bedroom Fashion Canvas Prints Modern Pictures Geometric Decor,12x12 in",4,"Home & Kitchen",SUMGAR,78142,19.98,80,12.22,1598.4,6,3.8,1,,,65,5,"Mar, 2019"
B07NZG2537,"KB & Me Inspirational Wall Art Posters Quotes Sayings Home D",4,"Home & Kitchen","KB & Me",197776,24.99,52,18.8,1299.48,-1,-1,2,,,697,39,"Jul, 2019"
B076K55WL2,"Dream Catcher Handmade Traditional White Feather Wind Chime Wall Hanging Home Decoration (Purple Bohemia Dream Catcher)",4,"Home & Kitchen",Buvelife,25770,10.99,489,6.15,5374.11,138,4.5,1,7713,,15,,"Nov, 2018"
B0759S85RC,"Kate and Laurel Benbrook 2-Pack Wood and Metal Floating Wall Shelves 24 inch White and Gold",3,"Home & Kitchen","Kate and Laurel",66988,49.99,90,30.43,4499.1,25,3.7,2,,,7,,"Jan, 2019"
B07H2YJBX7,"UNFRAMED Canvas Inspirational Funny Wall Picture&Art,Modern Decor for Office Classroom Letters&Words Inspire Teens Endeavor,Set of 4 Quotes&Saying Art Posters,8''x10'' Black and White Print",3,"Home & Kitchen",Chsdec,86675,14.69,96,10.08,1410.24,15,3.8,1,,,2080,1,"Jul, 2019"
B07KTB85RG,"Confetti Fox Floral Nursery Wall Art Decor - 8x10 Unframed Set of 4 Pearl Prints - Baby Girl Flower Quotes Shower Bedroom Bathroom Decorations - Pink Roses Hello Gorgeous Love",3,"Home & Kitchen","Confetti Fox",100820,16.98,107,12.02,1816.86,17,5,1,,,344,,"Mar, 2019"
B01LLSNG1E,"Twinkle Star 300 LED Window Curtain String Light Wedding Party Home Garden Bedroom Outdoor Indoor Wall Decorations, Warm White",3,"Home & Kitchen","Twinkle Star",85,17.98,40724,10.57,732217.52,3958,4.5,2,668082,1,-29,,"Dec, 2018"
