ASIN,Title,Category,Brand,BSR,Price,"Monthly Sales","Net Price","Monthly Revenue","Review Count","Review Rating",Sellers,"Last Year Sales","Sales Year over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period"
B07FC9FDV6,"Arachnes Needle Queen Duvet Cover Set, 3 Pcs Ultra Soft Stone Washed Brushed Microfiber Simple Stylish Bedding Set with Corner Ties and Zipper Closure for Living Room Decor- White","Home & Kitchen","Arachnes Needle",413161,22.99,0,13.52,-,22,4.3,1,,,1876,-25,"Nov, 2018"
B07JK7LMC5,"LONGTEN Christmas Windows Stickers Santa Claus Removable Vinyl Christmas Tree DIY Wall Window Door Mural Decal Sticker Showcase","Home & Kitchen",LONGTEN,854978,7.99,2,3.6,15.98,2,3,1,,,302,,"Dec, 2018"
B07BN393NB,"Easy-Off Specialty Kitchen Degreaser Cleaner, 16 fl oz Bottle","Home & Kitchen","Easy Off",3174339,21.91,0,18.62,-,0,-1,3,5,,0,,"Aug, 2018"
B07G2MBYPY,"LG Portable 115V Air Conditioner, Rooms up to 200-Sq. Ft, White (Renewed)","Home & Kitchen",LG,320756,249.95,0,212.46,-,20,3.5,0,135,,-116,11,"Jun, 2019"
B00IZ9L4OE,"Better Trends / Pan Overseas Florence 340 GSM Medium Weight 100-Percent Cotton Chenille Tufted Bedspread, Twin, Sage","Home & Kitchen","Better Trends / Pan Overseas",1633900,50.62,0,35.49,-,19,3.8,1,15,,0,,"Oct, 2018"
B07KF4111K,"Elcoho 60 Pieces Christmas Bow Red Bow with Golden Twist Ties for Christmas Tree Christmas Wreath Decorations, 2.5 Inches by 2 Inches","Home & Kitchen",Elcoho,1584463,11.99,0,7,-,-1,-1,0,,,0,,"Dec, 2018"
B0081XB1PQ,"Gold Medal Bean Bags Medium Wet Look Vinyl Beanbag, Tween Size, Red","Home & Kitchen",N/A,1331060,55.71,0,5.76,-,7,3.2,0,,,0,5,-
B00VVKI3NO,"Poly and Bark Burton Side Chair in Smoke (Set of 2)","Home & Kitchen","POLY & BARK",852842,127.9,1,65.07,127.9,3,4,0,27,,-113,,"Jul, 2018"
B003WHAFC6,"Blackberry 15 Inch Chair Pad by IHF - Set of 4","Home & Kitchen","IHF Rugs",171027,39.95,32,33.96,1278.4,20,4.3,0,174,1855,80,,"Aug, 2019"
B07P8NHXBW,"Ahawoso Tapestry Wall Hanging 80""x60"" Summer French Paris Slogan Flower Pattern Floral Rose Awesome Black Home Decor Tapestries Decorative Bedroom Living Room Dorm","Home & Kitchen",Ahawoso,6586429,18.99,0,16.14,-,-1,-1,0,,,,,"Jun, 2019"
B07BVH783F,"Cicitop Wall Mount 3D Cast Iron Skull Beer Bottle Screws, Halloween Skull Wall Mounted Bottle Opener Halloween Home Decoration Creative Bar Pub Decor","Home & Kitchen",Cicitop,871470,8.65,3,7.35,25.95,1,5,0,12,,0,,"Sep, 2018"
B01J3WRDNC,"Ambesonne Apartment Decor Collection, Golden Rays of the Sun Breaking Through the Storm Clouds Bursting Lights Image, Polyester Fabric Bathroom Shower Curtain Set with Hooks, Yellow Turquoise","Home & Kitchen",Ambesonne,217169,29.95,43,22.18,1287.85,72,4.2,2,2,,0,9,"Nov, 2018"
B00FA6NETI,"CanvasCEO NYC Paris London Eiffel Tower New York City France Europe Big Ben Car Double Decker Red Bus 3 Panel Set Wall Art Decor Canvas Framed Ready to Hang Print Fiberboard (28x20x1","Home & Kitchen",N/A,2354321,51.36,0,43.66,-,6,3.9,2,4,42,-139,-16,"Oct, 2018"
B00N4ONER0,"Star Wars Classic Death Star Twin/Full Comforter - Super Soft Kids Reversible Bedding - Fade Resistant Polyester Microfiber Fill (Official Star Wars Product)","Home & Kitchen","Jay Franco",17194,36.29,1110,17.65,48951,570,4.6,1,15479,6979,-17,-13,"Mar, 2019"
B07R4J7S1G,"Empire Art Direct ""Antique Chair Original","Home & Kitchen","Empire Art Direct",764330,67.99,1,57.79,67.99,1,5,0,7,,17,,"Apr, 2019"
B07MFHC6Y4,"Horal 4 Pack Heavy Scrub Mop Pads Replacement Kit Fit for Bissell Spinwave 2124, 2039A, 2039, 20391, 20395, 2039Q, 2039T, 2039W, Replaces Part #1611297 & 1611298","Home & Kitchen",Horal,376550,18.98,43,12.85,816.14,9,4.7,1,,,8,,"Jul, 2019"
B00N44S7DQ,"Back to 20s Oriental Style Foldable Panel Shoji Screen Room Divider, Chinese Painting: Mountain and River (3-P Mountain by River)","Home & Kitchen","Back to 20s",1283681,139.88,1,96.63,139.88,20,4,1,27,453,-71,,"Sep, 2018"
B00XHV163O,"Flash Furniture Black Leather Office Guest/Reception Chair","Home & Kitchen","Flash Furniture",933419,197.99,3,30.97,593.97,16,3.8,0,50,,0,,"Oct, 2018"
B07SKQRRMX,"800 Thread Count True Luxury 100% Pure Natural Egyptian Cotton 1PCS Body Pillowcase 20x54 Size Zipper Clouser 1-Piece Pillowcase Hotel Style Single Ply Soft Sateen Weave, Taupe Solid","Home & Kitchen","California Bedding",422802,24.99,39,21.24,974.61,34,4.3,1,,,,,"Aug, 2019"
B07PHSTCTC,"PH PandaHall 1pcs Vintage Retro Skull Crossbones Wax Seal Stamp with Wooden Handle Removable Sealing Stamp for Embellishment of Envelopes, Invitations, Wine Packages","Home & Kitchen","PH PandaHall",183561,11.59,23,6.66,266.57,7,5,2,,,-39,,"May, 2019"
B00MS1JKU0,"Swan Comfort Turkish Towel Peshtemal Bathrobe for Hamam Spa Pool Massage Sauna Beach Yacht Gym Fitness Kitchen Yoga Baby Towel Picnic Blanket 100% Cotton Table Throw Sarong Kikoy Fouta","Home & Kitchen","Swan Comfort",763927,12.95,3,7.73,38.85,151,4.1,1,63,-2,233,,"Aug, 2018"
B00KMDI7T6,"Cottage Garden in Memory Every Life Woodgrain Rope Trim Jewelry Music Box Plays Wind Beneath My Wings","Home & Kitchen","Cottage Garden",1051159,25.31,1,18.23,25.31,1,5,2,13,95,319,,"Feb, 2019"
B073W5YFMZ,"HanYan 4 Piece Pink Ceramics Toothbrush Holders with Tooth Brush Stand for Bathroom Countertops","Home & Kitchen",HanYan,284882,11.99,0,5.43,-,19,4.6,1,,,0,,"Feb, 2019"
