Phrase,"Search Volume",Category,BSR,Price,"Monthly Sales","Monthly Revenue","Review Count","Review Rating",Sellers,"Last Year Sales","Sales Year over Year","Sales Trend (90 days)","Price Trend (90 days)","Best Sales Period","Broad Search Potential","Number of Competing Products","Sales to Reviews"
"pineapple room decor",866,"Home & Kitchen",130165,14.44,440,6041.93,83,4.17,2,7321,189,-36,0,"Dec, 2018",4,100000,5.76421052
"bts dvd love yourself seoul",269,"Home & Kitchen",926755,115.51,16,926.85,8,4.89,3,1362,,0,0,-,2,12,2.15875
"frog with glasses painting",146,"Home & Kitchen",378521,37.33,200,2502.12,82,4.53,4,3553,99,0,0,"Aug, 2018",2,4000,1.93588235
"13 inch storage bin",253,"Home & Kitchen",11186,24.14,4952,91194.63,422,4.56,2,63092,136,85,0,"Jan, 2019",4,2000,7.72947368
"senville mini split 18000 btu",515,"Home & Kitchen",408621,1127.84,174,129835.24,86,4.39,2,2213,323,0,0,"Jul, 2019",0,10,3.438125
"lasko 754200 ceramic heater",187,"Home & Kitchen",103953,43.94,654,23572.42,1774,3.95,7,70920,30,0,0,"Jan, 2019",3,136,1.60294117
"entourage poster",272,"Home & Kitchen",611357,11.38,8,80.33,2,3.45,2,85,50,0,0,"Sep, 2018",2,0,0.6675
"vintage flower poster",192,"Home & Kitchen",164654,14.49,98,1170.88,19,4.41,4,1342,,0,0,-,2,0,8.82533333
"strong suction cup",154,"Home & Kitchen",24038,11.81,905,8792.09,202,4.1,4,16121,91,2,0,"Jul, 2019",4,10000,5.5575
"london fog blanket",160,"Home & Kitchen",407996,54.51,157,6957.16,235,4.32,2,6884,86,0,0,"Dec, 2018",3,89,1.32307692
"farmhouse wall clocks",258,"Home & Kitchen",92816,40.92,574,14559.76,105,3.85,3,11113,495,-26,0,"Jul, 2019",5,30000,11.877
"desk chair seat cushions",162,"Home & Kitchen",7186,29.53,4331,132974.9,1819,4.36,2,82321,0,26,0,"May, 2019",3,50000,4.915
"no drill towel bar",245,"Home & Kitchen",91185,18.93,584,9474.09,189,4.33,3,10547,35,0,0,"Jul, 2019",3,9000,8.6175
"easter home decor",267,"Home & Kitchen",222036,15.01,263,4779.07,89,4.37,2,3549,250,0,0,"Mar, 2019",3,400000,2.635
"indian curtains",248,"Home & Kitchen",448822,26.77,174,1555.04,47,4.36,3,753,43,0,0,"Jul, 2019",5,50000,3.7825
"personalized blankets",322,"Home & Kitchen",149142,38.35,158,4724.22,199,4.77,2,3145,237,0,0,"Dec, 2018",7,0,2.3965
"rope tiebacks",163,"Home & Kitchen",111388,11.02,266,3168.13,51,4.44,2,2261,65,0,0,"Jul, 2019",4,50000,7.41611111
"sticker backsplash kitchen",243,"Home & Kitchen",48063,27.09,446,13604.89,182,4.31,2,4505,159,0,0,"Mar, 2019",3,40000,3.7915
"battery operated blanket",362,"Home & Kitchen",230048,49.67,367,14540.17,565,3.86,3,22092,624,-10,0,"Dec, 2018",5,10000,1.06
"small yankee candles",182,"Home & Kitchen",93547,17.62,1527,16866.43,765,4.11,5,29722,666,0,0,-,5,10000,6.04923076
"periodic table placemat",247,"Home & Kitchen",235716,14.45,224,2798.08,125,4.34,2,4122,168,0,0,"Mar, 2019",2,3000,3.78684210
"stools for vanity",211,"Home & Kitchen",104593,63.46,455,12994.83,109,4.35,4,2796,27770,0,0,"Jul, 2019",7,10000,6.4765
"eco shower curtain liner",160,"Home & Kitchen",113937,11.8,10536,110194.85,1130,4.35,2,124362,-21,0,0,"May, 2019",2,50000,9.50052631
"5 shelf bookshelf",233,"Home & Kitchen",34459,80.53,6800,325804.53,988,3.99,8,110143,230,-4,0,"Jul, 2019",4,0,6.59944444
"egg crate twin xl",402,"Home & Kitchen",56401,38.34,9706,376638.38,1358,3.95,3,122635,312,0,0,"Aug, 2018",3,0,5.97736842
"decorative glass balls",195,"Home & Kitchen",184700,34.26,152,2805.92,66,4.43,3,18465,493,-19,0,"Jan, 2019",4,0,2.7385
"bissell belt",162,"Home & Kitchen",54080,5.83,954,4996.9,232,4.04,12,12870,93,12,-2,"Jul, 2019",6,1000,5.241
"the office pillows",150,"Home & Kitchen",71898,11.6,3542,34883.19,365,4.27,2,82319,98,0,0,"Dec, 2018",6,0,8.35352941
"fold down ironing board",250,"Home & Kitchen",168155,114.24,697,16446.86,190,4.25,4,8356,347,0,0,-,4,881,3.60555555
"rock collection display case",208,"Home & Kitchen",56291,24.45,527,17804.07,237,4.29,3,7133,153,59,0,"Dec, 2018",2,1000,3.81105263
"clothesline spreader",402,"Home & Kitchen",195150,18.57,787,18410.35,358,4.28,5,14590,258,0,0,"Jul, 2018",1,115,2.96684210
"kitchen shelf",7639,"Home & Kitchen",9434,53.37,6565,262134.58,1219,4.45,3,144299,151,0,0,"Aug, 2019",7,300000,13.7089473
"drawee organizer for bedroom",140,"Home & Kitchen",17383,22.78,4195,64207.07,446,4.45,3,59342,99,0,0,"Jan, 2019",0,0,21.3310526
"beauty tray",179,"Home & Kitchen",73354,29.56,823,15367.24,212,4.59,3,13379,654,0,0,"Mar, 2019",4,0,4.4905
"bedroom armoire",159,"Home & Kitchen",112462,198.06,100,15322.97,310,3.67,8,2895,113,0,0,"Nov, 2018",4,9000,1.333125
"ffre0833u1 air conditioner",153,"Home & Kitchen",65717,246.13,3025,543310.02,363,3.69,7,18792,-4,0,0,"Jul, 2019",0,0,21.2441176
"22 pillow cover",180,"Home & Kitchen",7155,17.58,2524,45403.44,461,4.56,2,20844,703,0,0,-,4,0,6.116
"shark floor cleaner refill",216,"Home & Kitchen",119690,24.74,667,14200.31,172,4.38,6,6579,105,0,0,"Mar, 2019",3,617,4.9295
"safavieh ottoman",3068,"Home & Kitchen",709032,149.35,542,43471.62,79,4.39,10,6632,935,0,0,-,3,751,0.88214285
"zinus sleep master",206,"Home & Kitchen",43927,218.14,8768,1191139.66,6075,4.2,5,114800,111,35,0,"Mar, 2019",4,71,4.43052631
"mexican home decor",165,"Home & Kitchen",206432,21.59,496,9330.03,138,4.57,2,7726,15140,0,0,"Jan, 2019",3,0,4.006
"lucid waterproof mattress protector",188,"Home & Kitchen",34698,26.66,4510,138218.93,1248,4.38,2,55843,245,0,0,"Jul, 2019",2,32,8.76
"crystals bulk wholesale",201,"Home & Kitchen",197829,24,125,2287.61,150,4.23,2,1698,93,0,0,"Sep, 2017",1,0,1.3605
"tie box organizer",165,"Home & Kitchen",66452,27.8,2307,50445.16,461,4.5,2,40409,5,0,0,"Jul, 2019",3,30000,7.824
"review mirror hanging accessories car",259,"Home & Kitchen",155085,10.96,138,1423.38,64,4.56,2,1853,101,0,0,"Dec, 2018",0,436,2.77277777
"jack daniels sign",163,"Home & Kitchen",220432,36.24,39,537.72,46,4.47,3,634,-53,0,0,"Dec, 2017",4,2000,2.78083333
"heavy duty storage bin",248,"Home & Kitchen",32979,55.66,850,39378.42,269,4.14,15,10949,493,0,0,"Jul, 2019",4,10000,5.419375
decowall,158,"Home & Kitchen",166509,19.35,164,3031.03,78,4.53,2,2042,89,2,0,"Aug, 2018",4,223,2.79578947
"hanging dresser",151,"Home & Kitchen",17187,24,2157,38901.36,327,4.28,2,22318,59,0,0,"Sep, 2018",4,0,8.16578947
"6x6 outdoor rug",172,"Home & Kitchen",14023,52.54,1282,59083.45,405,4.32,4,12212,187,-11,0,"Jul, 2019",2,0,12.6035
"white wood dresser",191,"Home & Kitchen",95759,207.39,741,119421.78,367,3.72,9,10312,116,0,0,"Oct, 2018",4,0,3.54894736
"boxwood balls",238,"Home & Kitchen",287354,55.29,61,2310.47,28,4.24,3,1068,298,0,0,"May, 2019",5,2000,5.55722222
"pineapple candle holder",154,"Home & Kitchen",239141,18.88,152,2551.76,62,3.77,6,2482,254,-54,0,"May, 2019",3,0,4.32875
"mr siga",402,"Home & Kitchen",42478,15.83,849,11438.34,170,4.05,2,7989,73,0,0,"Mar, 2019",4,0,7.20647058
"short storage bins",170,"Home & Kitchen",27900,20.59,1935,37391.33,244,4.39,5,26955,513,117,0,"Jan, 2019",3,0,11.5005263
"max pump 2",234,"Home & Kitchen",177401,100.57,218,10962.05,112,3.57,6,1873,-28,0,0,"Jul, 2019",1,10000,3.16833333
"motorized curtain rods with remote",148,"Home & Kitchen",695020,231.22,262,13707.33,79,4.03,2,4217,132,0,0,"Jul, 2019",1,10000,2.056
"fresh linen candle",225,"Home & Kitchen",130416,17.82,2160,32003.53,414,3.74,3,32260,44,0,0,-,3,3000,6.03142857
"lasko high velocity tower fan",865,"Home & Kitchen",386826,76.86,6684,394404.79,1389,4.23,18,84656,180,0,0,-,2,0,3.58923076
"mini bbq gym fan",230,"Home & Kitchen",241680,16.91,652,11275.47,297,4.41,2,3622,,0,0,-,0,0,6.92
bulldogs,168,"Home & Kitchen",189618,16.92,232,4543.4,88,4.43,5,4732,382,0,0,"Dec, 2018",9,100000,2.55166666
elefant,252,"Home & Kitchen",112476,14.78,764,7738.99,190,4.14,7,9369,70,0,0,-,6,20000,3.12
"highest rated humidifier",252,"Home & Kitchen",31267,51.36,2232,93860.12,2500,4.1,4,113017,120,-39,0,"Jan, 2019",2,789,1.2295
"rustic art wall decor",163,"Home & Kitchen",75267,33.78,979,13807.8,141,4.63,3,8272,217,0,0,"Aug, 2019",3,0,5.0115
"jute mat",166,"Home & Kitchen",34411,31.09,1263,35218.36,330,3.96,4,13911,375,0,0,"Jan, 2019",4,50000,4.23555555
"number 5",239,"Home & Kitchen",60612,9.54,707,7619.62,111,4.11,2,7264,84,0,0,"Jul, 2019",6,0,7.69117647
"chakra stone set",160,"Home & Kitchen",83871,22.41,379,7214.34,243,4.52,2,7804,-47,0,0,"Dec, 2018",4,0,5.25210526
"artificial geraniums for outdoors",242,"Home & Kitchen",130316,20.47,405,4980.18,123,4.13,4,6594,1016,0,0,"May, 2019",1,0,4.50789473
"windown treatments",269,"Home & Kitchen",8367,29.22,8532,173948.82,1895,4.3,2,108416,436,0,0,"Jul, 2019",0,123,5.39666666
"japanese curtain doorway",230,"Home & Kitchen",177663,22.12,78,1786.65,53,4.35,7,2471,344,0,0,"Sep, 2017",4,0,2.74166666
"fake lemon",186,"Home & Kitchen",96183,12.19,255,2961.53,60,4.35,2,3465,27,0,0,"Aug, 2019",4,3000,12.7826315
"matress cleaner",142,"Home & Kitchen",46730,61.12,4338,178760.45,1174,4.05,5,74435,276,0,0,"May, 2019",2,8000,4.58473684
"mason jar soap lid",188,"Home & Kitchen",56513,11.49,808,9867.89,188,4.21,2,16238,102,0,0,"Jul, 2019",5,0,6.9575
"fatwood fire starter sticks 25lb",174,"Home & Kitchen",103777,30.3,281,7106.8,263,4.41,7,19618,1308,0,0,"Jan, 2019",0,139,3.26315789
"84 inch curtains 2 panels",170,"Home & Kitchen",13634,25.64,8909,250248.01,1472,4.45,2,103090,500,0,0,-,4,80000,5.02666666
"bed frame cover",436,"Home & Kitchen",51343,25.49,7955,151962.03,1006,4.19,3,105411,417,0,0,"Jul, 2019",4,90000,9.243125
"first last day of school sign",233,"Home & Kitchen",15413,21.94,2641,52363.09,29,4.27,2,8099,814,0,0,"Aug, 2019",2,0,158.444166
"blue aprons",235,"Home & Kitchen",85936,19.53,440,7448.42,131,4.27,3,14121,699,0,0,"Oct, 2018",6,90000,16.765
"bakers rack with drawers",223,"Home & Kitchen",108035,118.42,488,35632.97,412,4.1,6,8211,58,0,-6,"Jan, 2019",3,0,1.1785
"white medicine cabinets for bathroom",238,"Home & Kitchen",46152,63.24,236,15487.5,143,4.15,6,3425,82,0,3,"Jul, 2019",3,0,5.434
